sample_id	participant_id	sample_type	pathology
sample-uoftRat02	sub-uoftRat02	tissue	Regeneration
sample-uoftRat04	sub-uoftRat04	tissue	Late regeneration
sample-uoftRat07	sub-uoftRat07	tissue	Late regeneration
sample-uoftRat08	sub-uoftRat08	tissue	Late regeneration
sample-uoftRat09	sub-uoftRat09	tissue	Early regeneration
sample-uoftRat10	sub-uoftRat10	tissue	Early regeneration
sample-uoftRat16	sub-uoftRat16	tissue	Early regeneration
sample-uoftRat17	sub-uoftRat17	tissue	Early regeneration
